Rk;Player;Nation;Pos;Squad;Age;Born;90s;SCA;SCA90;PassLive;PassDead;Drib;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;Drib;Sh;Fld;Def;OG
1;Patrick van Aanholt;nl NED;DF;Crystal Palace;30-113;1990;8.2;17;2.07;15;2;0;0;0;0;2;0.24;2;0;0;0;0;0;0
2;Tammy Abraham;eng ENG;FW;Chelsea;23-079;1997;6.7;14;2.09;8;0;1;2;3;0;2;0.30;1;0;0;0;1;0;0
3;Che Adams;eng ENG;FW;Southampton;24-160;1996;13.3;27;2.03;21;0;1;3;2;0;5;0.38;5;0;0;0;0;0;0
4;Tosin Adarabioyo;eng ENG;DF;Fulham;23-087;1997;10.0;8;0.80;8;0;0;0;0;0;1;0.10;1;0;0;0;0;0;0
5;Adrián;es ESP;GK;Liverpool;33-352;1987;2.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
6;Sergio Agüero;ar ARG;FW;Manchester City;32-201;1988;1.4;4;2.90;4;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
7;Ola Aina;ng NGA;DF;Fulham;24-073;1996;11.0;12;1.09;11;1;0;0;0;0;1;0.09;1;0;0;0;0;0;0
8;Rayan Aït Nouri;fr FRA;DF;Wolves;19-197;2001;3.1;5;1.64;5;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
9;Semi Ajayi;ng NGA;DF;West Brom;27-041;1993;12.0;3;0.25;2;0;0;1;0;0;2;0.17;1;0;0;1;0;0;0
10;Nathan Aké;nl NED;DF;Manchester City;25-306;1995;4.2;2;0.47;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
11;Marc Albrighton;eng ENG;DF,MF;Leicester City;31-032;1989;4.9;13;2.64;10;0;2;1;0;0;2;0.41;1;0;0;1;0;0;0
12;Thiago Alcántara;es ESP;MF;Liverpool;29-253;1991;1.5;6;4.00;5;1;0;0;0;0;0;0.00;0;0;0;0;0;0;0
13;Toby Alderweireld;be BEL;DF;Tottenham;31-293;1989;8.9;8;0.90;7;0;0;1;0;0;3;0.34;3;0;0;0;0;0;0
14;Trent Alexander-Arnold;eng ENG;DF;Liverpool;22-074;1998;10.7;28;2.62;19;8;1;0;0;0;3;0.28;3;0;0;0;0;0;0
15;Ezgjan Alioski;mk MKD;DF,MF;Leeds United;28-312;1992;7.1;18;2.53;17;0;0;0;1;0;0;0.00;0;0;0;0;0;0;0
16;Alisson;br BRA;GK;Liverpool;28-079;1992;11.0;2;0.18;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
